"","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude"
"601",4.27,91.0960482128616,89.3,"TF",901.952855,0.302376,41.7067,14.9557,40.9254,15.2091
"602",4.27,38.8247343841526,34.4,"TF",662.075996,1.8748825,41.7067,14.9557,41.7666,14.5502
"603",4.27,101.705506242288,100.1,"TF",783.979906,0.6564155,41.7067,14.9557,40.9549,15.6163
"604",4.58,32.5631693789164,29.4,"NF",856.437789,7.86403,39.289,16.3575,39.136726,16.079647
"605",4.58,82.9893969130997,81.8,"NF",1417.511799,1.708598,39.289,16.3575,38.561467,16.20886
"606",4.58,171.572142260916,171,"NF",753.987228,0.0394065,39.289,16.3575,40.634346,15.382376
"607",4.58,53.7550927819867,51.9,"NF",789.386039,5.2140775,39.289,16.3575,39.5845,15.8909
"608",4.58,62.9758683941714,61.4,"NF",719.520227,2.477134,39.289,16.3575,39.38764833,17.05777
"609",4.58,23.6814273218487,19.1,"NF",803.514334,18.937146,39.289,16.3575,39.117931,16.380044
"610",4.58,16.4304595188327,8.6,"NF",1054.176117,29.9022355,39.289,16.3575,39.28907,16.257683
"611",4.58,47.7963387719185,45.7,"NF",725.413772,2.674021,39.289,16.3575,38.917138,16.584983
"612",4.58,45.6021929297265,43.4,"NF",677.279243,5.6315655,39.289,16.3575,38.94072,16.585107
"613",4.58,44.3667668418604,42.1,"NF",387.152503,3.1435505,39.289,16.3575,38.918671,16.252811
"614",4.58,46.2688880350501,44.1,"NF",530,5.5094335,39.289,16.3575,39.0774,16.7897
"615",4.58,46.3642103351281,44.2,"NF",878.418252,6.569026,39.289,16.3575,39.076855,16.789735
"616",4.58,39.0928382187838,36.5,"NF",521.143585,16.2721355,39.289,16.3575,38.962104,16.315108
"617",4.58,34.928498393146,32,"NF",846.530839,4.485941,39.289,16.3575,39.002277,16.319289
"618",4.58,31.6632278834613,28.4,"NF",989.315064,3.5279295,39.289,16.3575,39.369955,16.04456833
"619",4.58,123.794184031399,123,"NF",835.461731,0.27441,39.289,16.3575,40.38562,16.561087
"620",4.58,143.584156507604,142.9,"NF",383,0.107611,39.289,16.3575,38.121418,15.666274
"621",4.58,41.5308319203938,39.1,"NF",1028.110581,3.685054,39.289,16.3575,39.570648,16.630161
"622",4.58,48.0832611206852,46,"NF",312.092988,2.6208485,39.289,16.3575,39.694628,16.468278
"623",4.58,55.4949547256325,53.7,"NF",959.437051,1.4928235,39.289,16.3575,39.708206,16.046103
"624",4.58,32.0224920954007,28.8,"NF",776.523384,12.5584935,39.289,16.3575,39.263344,16.689762
"625",4.58,57.7234787586472,56,"NF",377.459715,8.365358,39.289,16.3575,38.884391,16.744739
"626",4.58,38.440083246528,35.8,"NF",692.473618,5.5316175,39.289,16.3575,39.556393,16.125072
"627",4.58,17.0320286519252,9.7,"NF",318,29.870757,39.289,16.3575,39.340206,16.44912
